time,cycle,state,led1,led2,led3
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,1,0,0,0,0
11,1,0,0,0,0
12,1,0,0,0,0
13,1,0,0,0,0
14,1,0,0,0,0
15,1,0,0,0,0
16,1,0,0,0,0
17,1,0,0,0,0
18,2,0,0,0,0
19,2,0,0,0,0
20,2,0,0,0,0
21,2,0,0,0,0
22,2,0,0,0,0
23,2,0,0,0,0
24,2,0,0,0,0
25,2,0,0,0,0
26,3,0,0,0,0
27,3,0,0,0,0
28,3,0,0,0,0
29,3,0,0,0,0
30,3,0,0,0,0
31,3,0,0,0,0
32,3,0,0,0,0
33,3,0,0,0,0
34,3,0,0,0,0
35,4,0,0,0,0
36,4,0,0,0,0
37,4,0,0,0,0
38,4,0,0,0,0
39,4,0,0,0,0
40,4,0,0,0,0
41,4,0,0,0,0
42,4,0,0,0,0
43,5,0,0,0,0
44,5,0,0,0,0
45,5,0,0,0,0
46,5,0,0,0,0
47,5,0,0,0,0
48,5,0,0,0,0
49,5,0,0,0,0
50,5,0,0,0,0
51,6,0,0,0,0
52,6,0,0,0,0
53,6,0,0,0,0
54,6,0,0,0,0
55,6,0,0,0,0
56,6,0,0,0,0
57,6,0,0,0,0
58,6,0,0,0,0
59,6,0,0,0,0
60,7,0,0,0,0
61,7,0,0,0,0
62,7,0,0,0,0
63,7,0,0,0,0
64,7,0,0,0,0
65,7,0,0,0,0
66,7,0,0,0,0
67,7,0,0,0,0
68,8,0,0,0,0
69,8,0,0,0,0
70,8,0,0,0,0
71,8,0,0,0,0
72,8,0,0,0,0
73,8,0,0,0,0
74,8,0,0,0,0
75,8,0,0,0,0
76,9,0,0,0,0
77,9,0,0,0,0
78,9,0,0,0,0
79,9,0,0,0,0
80,9,0,0,0,0
81,9,0,0,0,0
82,9,0,0,0,0
83,9,0,0,0,0
84,9,0,0,0,0
85,10,0,0,0,0
86,10,0,0,0,0
87,10,0,0,0,0
88,10,0,0,0,0
89,10,0,0,0,0
90,10,0,0,0,0
91,10,0,0,0,0
92,10,0,0,0,0
93,11,0,0,0,0
94,11,0,0,0,0
95,11,0,0,0,0
96,11,0,0,0,0
97,11,0,0,0,0
98,11,0,0,0,0
99,11,0,0,0,0
100,11,0,0,0,0
101,12,0,0,0,0
102,12,0,0,0,0
103,12,0,0,0,0
104,12,0,0,0,0
105,12,0,0,0,0
106,12,0,0,0,0
107,12,0,0,0,0
108,12,0,0,0,0
109,12,0,0,0,0
110,13,0,0,0,0
111,13,0,0,0,0
112,13,0,0,0,0
113,13,0,0,0,0
114,13,0,0,0,0
115,13,0,0,0,0
116,13,0,0,0,0
117,13,0,0,0,0
118,14,0,0,0,0
119,14,0,0,0,0
120,14,0,0,0,0
121,14,0,0,0,0
122,14,0,0,0,0
123,14,0,0,0,0
124,14,0,0,0,0
125,14,0,0,0,0
126,15,0,0,0,0
127,15,0,0,0,0
128,15,0,0,0,0
129,15,0,0,0,0
130,15,0,0,0,0
131,15,0,0,0,0
132,15,0,0,0,0
133,15,0,0,0,0
134,15,0,0,0,0
135,16,0,0,0,0
136,16,0,0,0,0
137,16,0,0,0,0
138,16,0,0,0,0
139,16,0,0,0,0
140,16,0,0,0,0
141,16,0,0,0,0
142,16,0,0,0,0
143,17,0,0,0,0
144,17,0,0,0,0
145,17,0,0,0,0
146,17,0,0,0,0
147,17,0,0,0,0
148,17,0,0,0,0
149,17,0,0,0,0
150,17,0,0,0,0
151,18,0,0,0,0
152,18,0,0,0,0
153,18,0,0,0,0
154,18,0,0,0,0
155,18,0,0,0,0
156,18,0,0,0,0
157,18,0,0,0,0
158,18,0,0,0,0
159,18,0,0,0,0
160,19,0,0,0,0
161,19,0,0,0,0
162,19,0,0,0,0
163,19,0,0,0,0
164,19,0,0,0,0
165,19,0,0,0,0
166,19,0,0,0,0
167,19,0,0,0,0
168,20,0,0,0,0
169,20,0,0,0,0
170,20,0,0,0,0
171,20,0,0,0,0
172,20,0,0,0,0
173,20,0,0,0,0
174,20,0,0,0,0
175,20,0,0,0,0
176,21,0,0,0,0
177,21,0,0,0,0
178,21,0,0,0,0
179,21,0,0,0,0
180,21,0,0,0,0
181,21,0,0,0,0
182,21,0,0,0,0
183,21,0,0,0,0
184,21,0,0,0,0
185,22,0,0,0,0
186,22,0,0,0,0
187,22,0,0,0,0
188,22,0,0,0,0
189,22,0,0,0,0
190,22,0,0,0,0
191,22,0,0,0,0
192,22,0,0,0,0
193,23,0,0,0,0
194,23,0,0,0,0
195,23,0,0,0,0
196,23,0,0,0,0
197,23,0,0,0,0
198,23,0,0,0,0
199,23,0,0,0,0
200,23,0,0,0,0
201,24,0,0,0,0
202,24,0,0,0,0
203,24,0,0,0,0
204,24,0,0,0,0
205,24,0,0,0,0
206,24,0,0,0,0
207,24,0,0,0,0
208,24,0,0,0,0
209,24,0,0,0,0
210,25,0,0,0,0
211,25,0,0,0,0
212,25,0,0,0,0
213,25,0,0,0,0
214,25,0,0,0,0
215,25,0,0,0,0
216,25,0,0,0,0
217,25,0,0,0,0
218,26,0,0,0,0
219,26,0,0,0,0
220,26,0,0,0,0
221,26,0,0,0,0
222,26,0,0,0,0
223,26,0,0,0,0
224,26,0,0,0,0
225,26,0,0,0,0
226,27,0,0,0,0
227,27,0,0,0,0
228,27,0,0,0,0
229,27,0,0,0,0
230,27,0,0,0,0
231,27,0,0,0,0
232,27,0,0,0,0
233,27,0,0,0,0
234,27,0,0,0,0
235,28,0,0,0,0
236,28,0,0,0,0
237,28,0,0,0,0
238,28,0,0,0,0
239,28,0,0,0,0
240,28,0,0,0,0
241,28,0,0,0,0
242,28,0,0,0,0
243,29,0,0,0,0
244,29,0,0,0,0
245,29,0,0,0,0
246,29,0,0,0,0
247,29,0,0,0,0
248,29,0,0,0,0
249,29,0,0,0,0
250,29,0,0,0,0
251,30,0,0,0,0
252,30,0,0,0,0
253,30,0,0,0,0
254,30,0,0,0,0
255,30,0,0,0,0
256,30,0,0,0,0
257,30,0,0,0,0
258,30,0,0,0,0
259,30,0,0,0,0
260,31,0,0,0,0
261,31,0,0,0,0
262,31,0,0,0,0
263,31,0,0,0,0
264,31,0,0,0,0
265,31,0,0,0,0
266,31,0,0,0,0
267,31,0,0,0,0
268,32,0,0,0,0
269,32,0,0,0,0
270,32,0,0,0,0
271,32,0,0,0,0
272,32,0,0,0,0
273,32,0,0,0,0
274,32,0,0,0,0
275,32,0,0,0,0
276,33,0,0,0,0
277,33,0,0,0,0
278,33,0,0,0,0
279,33,0,0,0,0
280,33,0,0,0,0
281,33,0,0,0,0
282,33,0,0,0,0
283,33,0,0,0,0
284,33,0,0,0,0
285,34,0,0,0,0
286,34,0,0,0,0
287,34,0,0,0,0
288,34,0,0,0,0
289,34,0,0,0,0
290,34,0,0,0,0
291,34,0,0,0,0
292,34,0,0,0,0
293,35,0,0,0,0
294,35,0,0,0,0
295,35,0,0,0,0
296,35,0,0,0,0
297,35,0,0,0,0
298,35,0,0,0,0
299,35,0,0,0,0
300,35,0,0,0,0
301,36,0,0,0,0
302,36,0,0,0,0
303,36,0,0,0,0
304,36,0,0,0,0
305,36,0,0,0,0
306,36,0,0,0,0
307,36,0,0,0,0
308,36,0,0,0,0
309,36,0,0,0,0
310,37,0,0,0,0
311,37,0,0,0,0
312,37,0,0,0,0
313,37,0,0,0,0
314,37,0,0,0,0
315,37,0,0,0,0
316,37,0,0,0,0
317,37,0,0,0,0
318,38,0,0,0,0
319,38,0,0,0,0
320,38,0,0,0,0
321,38,0,0,0,0
322,38,0,0,0,0
323,38,0,0,0,0
324,38,0,0,0,0
325,38,0,0,0,0
326,39,0,0,0,0
327,39,0,0,0,0
328,39,0,0,0,0
329,39,0,0,0,0
330,39,0,0,0,0
331,39,0,0,0,0
332,39,0,0,0,0
333,39,0,0,0,0
334,39,0,0,0,0
335,40,0,0,0,0
336,40,0,0,0,0
337,40,0,0,0,0
338,40,0,0,0,0
339,40,0,0,0,0
340,40,0,0,0,0
341,40,0,0,0,0
342,40,0,0,0,0
343,41,0,0,0,0
344,41,0,0,0,0
345,41,0,0,0,0
346,41,0,0,0,0
347,41,0,0,0,0
348,41,0,0,0,0
349,41,0,0,0,0
350,41,0,0,0,0
351,42,0,0,0,0
352,42,0,0,0,0
353,42,0,0,0,0
354,42,0,0,0,0
355,42,0,0,0,0
356,42,0,0,0,0
357,42,0,0,0,0
358,42,0,0,0,0
359,42,0,0,0,0
360,43,0,0,0,0
361,43,0,0,0,0
362,43,0,0,0,0
363,43,0,0,0,0
364,43,0,0,0,0
365,43,0,0,0,0
366,43,0,0,0,0
367,43,0,0,0,0
368,44,0,0,0,0
369,44,0,0,0,0
370,44,0,0,0,0
371,44,0,0,0,0
372,44,0,0,0,0
373,44,0,0,0,0
374,44,0,0,0,0
375,44,0,0,0,0
376,45,0,0,0,0
377,45,0,0,0,0
378,45,0,0,0,0
379,45,0,0,0,0
380,45,0,0,0,0
381,45,0,0,0,0
382,45,0,0,0,0
383,45,0,0,0,0
384,45,0,0,0,0
385,46,0,0,0,0
386,46,0,0,0,0
387,46,0,0,0,0
388,46,0,0,0,0
389,46,0,0,0,0
390,46,0,0,0,0
391,46,0,0,0,0
392,46,0,0,0,0
393,47,0,0,0,0
394,47,0,0,0,0
395,47,0,0,0,0
396,47,0,0,0,0
397,47,0,0,0,0
398,47,0,0,0,0
399,47,0,0,0,0
400,47,0,0,0,0
401,48,0,0,0,0
402,48,0,0,0,0
403,48,0,0,0,0
404,48,0,0,0,0
405,48,0,0,0,0
406,48,0,0,0,0
407,48,0,0,0,0
408,48,0,0,0,0
409,48,0,0,0,0
410,49,0,0,0,0
411,49,0,0,0,0
412,49,0,0,0,0
413,49,0,0,0,0
414,49,0,0,0,0
415,49,0,0,0,0
416,49,0,0,0,0
417,49,0,0,0,0
418,50,0,0,0,0
419,50,0,0,0,0
420,50,0,0,0,0
421,50,0,0,0,0
422,50,0,0,0,0
423,50,0,0,0,0
424,50,0,0,0,0
425,50,0,0,0,0
426,51,0,0,0,0
427,51,0,0,0,0
428,51,0,0,0,0
429,51,0,0,0,0
430,51,0,0,0,0
431,51,0,0,0,0
432,51,0,0,0,0
433,51,0,0,0,0
434,51,0,0,0,0
435,52,0,0,0,0
436,52,0,0,0,0
437,52,0,0,0,0
438,52,0,0,0,0
439,52,0,0,0,0
440,52,0,0,0,0
441,52,0,0,0,0
442,52,0,0,0,0
443,53,0,0,0,0
444,53,0,0,0,0
445,53,0,0,0,0
446,53,0,0,0,0
447,53,0,0,0,0
448,53,0,0,0,0
449,53,0,0,0,0
450,53,0,0,0,0
451,54,0,0,0,0
452,54,0,0,0,0
453,54,0,0,0,0
454,54,0,0,0,0
455,54,0,0,0,0
456,54,0,0,0,0
457,54,0,0,0,0
458,54,0,0,0,0
459,54,0,0,0,0
460,55,0,0,0,0
461,55,0,0,0,0
462,55,0,0,0,0
463,55,0,0,0,0
464,55,0,0,0,0
465,55,0,0,0,0
466,55,0,0,0,0
467,55,0,0,0,0
468,56,0,0,0,0
469,56,0,0,0,0
470,56,0,0,0,0
471,56,0,0,0,0
472,56,0,0,0,0
473,56,0,0,0,0
474,56,0,0,0,0
475,56,0,0,0,0
476,57,0,0,0,0
477,57,0,0,0,0
478,57,0,0,0,0
479,57,0,0,0,0
480,57,0,0,0,0
481,57,0,0,0,0
482,57,0,0,0,0
483,57,0,0,0,0
484,57,0,0,0,0
485,58,0,0,0,0
486,58,0,0,0,0
487,58,0,0,0,0
488,58,0,0,0,0
489,58,0,0,0,0
490,58,0,0,0,0
491,58,0,0,0,0
492,58,0,0,0,0
493,59,0,0,0,0
494,59,0,0,0,0
495,59,0,0,0,0
496,59,0,0,0,0
497,59,0,0,0,0
498,59,0,0,0,0
499,59,0,0,0,0
500,59,0,0,0,0
501,60,0,0,0,0
502,60,0,0,0,0
503,60,0,0,0,0
504,60,0,0,0,0
505,60,0,0,0,0
506,60,0,0,0,0
507,60,0,0,0,0
508,60,0,0,0,0
509,60,0,0,0,0
510,61,0,0,0,0
511,61,0,0,0,0
512,61,0,0,0,0
513,61,0,0,0,0
514,61,0,0,0,0
515,61,0,0,0,0
516,61,0,0,0,0
517,61,0,0,0,0
518,62,0,0,0,0
519,62,0,0,0,0
520,62,0,0,0,0
521,62,0,0,0,0
522,62,0,0,0,0
523,62,0,0,0,0
524,62,0,0,0,0
525,62,0,0,0,0
526,63,0,0,0,0
527,63,0,0,0,0
528,63,0,0,0,0
529,63,0,0,0,0
530,63,0,0,0,0
531,63,0,0,0,0
532,63,0,0,0,0
533,63,0,0,0,0
534,63,0,0,0,0
535,64,0,0,0,0
536,64,0,0,0,0
537,64,0,0,0,0
538,64,0,0,0,0
539,64,0,0,0,0
540,64,0,0,0,0
541,64,0,0,0,0
542,64,0,0,0,0
543,65,0,0,0,0
544,65,0,0,0,0
545,65,0,0,0,0
546,65,0,0,0,0
547,65,0,0,0,0
548,65,0,0,0,0
549,65,0,0,0,0
550,65,0,0,0,0
551,66,0,0,0,0
552,66,0,0,0,0
553,66,0,0,0,0
554,66,0,0,0,0
555,66,0,0,0,0
556,66,0,0,0,0
557,66,0,0,0,0
558,66,0,0,0,0
559,66,0,0,0,0
560,67,0,0,0,0
561,67,0,0,0,0
562,67,0,0,0,0
563,67,0,0,0,0
564,67,0,0,0,0
565,67,0,0,0,0
566,67,0,0,0,0
567,67,0,0,0,0
568,68,0,0,0,0
569,68,0,0,0,0
570,68,0,0,0,0
571,68,0,0,0,0
572,68,0,0,0,0
573,68,0,0,0,0
574,68,0,0,0,0
575,68,0,0,0,0
576,69,0,0,0,0
577,69,0,0,0,0
578,69,0,0,0,0
579,69,0,0,0,0
580,69,0,0,0,0
581,69,0,0,0,0
582,69,0,0,0,0
583,69,0,0,0,0
584,69,0,0,0,0
585,70,0,0,0,0
586,70,0,0,0,0
587,70,0,0,0,0
588,70,0,0,0,0
589,70,0,0,0,0
590,70,0,0,0,0
591,70,0,0,0,0
592,70,0,0,0,0
593,71,0,0,0,0
594,71,0,0,0,0
595,71,0,0,0,0
596,71,0,0,0,0
597,71,0,0,0,0
598,71,0,0,0,0
599,71,0,0,0,0
600,71,0,0,0,0
601,72,0,0,0,0
602,72,0,0,0,0
603,72,0,0,0,0
604,72,0,0,0,0
605,72,0,0,0,0
606,72,0,0,0,0
607,72,0,0,0,0
608,72,0,0,0,0
